user_id,book_id,score
3889,1825,2.5
7868,5866,0.4
80,2017,4.8
7719,1420,2.7
4271,4874,0.8
7305,3308,3.2
7982,5934,0.1
1452,2513,2.5
5006,6998,2.2
3674,152,3.9
3252,7303,4.2
6432,5821,1.6
5925,5694,4.5
4045,2385,0.8
712,4149,3.5
6320,2754,4.7
1895,286,4.2
5340,2904,2.3
1069,3108,0.2
4134,7859,4.3
6696,1071,4.3
5413,6992,4.0
2184,5086,3.4
2033,7299,4.6
6750,76,0.3
1637,6268,2.0
4957,4237,4.6
925,6020,1.2
668,2735,1.8
6904,6590,0.1
1042,6140,1.7
5014,4840,4.9
4824,4788,2.4
6042,3225,4.0
5994,7829,0.5
6696,3202,0.0
2470,2836,3.2
360,6575,4.2
1610,3619,2.6
257,7365,1.2
2553,1643,0.8
1630,2435,1.9
5239,2257,3.7
1964,323,1.8
2536,7346,1.5
217,5879,1.6
5972,6696,3.2
598,4910,1.7
5286,1284,1.3
3542,1998,3.8
4775,2451,4.3
7372,217,4.0
2887,5532,4.6
944,874,3.2
5077,926,1.4
1210,5303,0.4
6209,7380,4.7
2021,3598,3.0
4704,7026,0.1
5933,5913,4.3
1128,7910,1.4
785,5148,3.1
3183,4826,2.1
7505,1779,1.8
2415,1966,0.7
2672,3671,1.6
3781,4992,1.5
3698,2392,2.8
4973,5669,4.6
7391,2529,3.5
7687,3439,4.7
4158,632,0.8
6869,5414,4.0
2458,3901,3.8
4474,2513,3.2
5760,3176,4.5
5819,108,0.4
1534,5388,1.8
1217,1777,0.0
357,2969,3.7
4565,4497,4.9
2696,6035,1.5
6499,6201,0.9
4922,4061,4.3
7543,7312,0.3
2003,307,0.9
1474,4789,3.3
1004,3689,3.1
2837,4483,1.5
7901,2031,4.9
5475,909,1.8
1221,6861,3.4
7875,484,0.7
7042,1384,0.4
5100,14,1.4
948,7741,0.7
2551,2510,2.5
4094,2979,0.7
5472,7009,3.8
7301,6155,2.6
5829,3516,2.6
4270,4545,1.8
5412,1361,1.0
7075,6889,2.9
865,2056,0.9
4623,4548,4.1
1021,7112,3.6
1693,1707,2.4
3231,3629,1.3
4796,5968,4.4
4047,6865,1.3
3421,7298,4.4
